FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
01112018,12,7,via_peatonal,Norte,Sur,07:15:00,117,0,1,1,0,0,0,16,0,
01112018,12,7,via_peatonal,Norte,Sur,07:30:00,136,0,0,0,0,0,0,21,0,
01112018,12,7,via_peatonal,Norte,Sur,07:45:00,201,0,0,0,0,0,0,18,0,
01112018,12,7,via_peatonal,Norte,Sur,07:59:59,170,0,0,0,0,0,0,5,0,
01112018,12,7,via_peatonal,Norte,Sur,08:14:59,153,0,0,0,0,0,0,10,0,
01112018,12,7,via_peatonal,Norte,Sur,08:29:59,195,0,0,0,0,0,0,7,0,
01112018,12,7,via_peatonal,Norte,Sur,08:44:57,248,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,08:59:57,254,0,0,0,0,0,0,16,0,
01112018,12,7,via_peatonal,Norte,Sur,09:14:57,199,0,0,1,0,0,0,13,0,
01112018,12,7,via_peatonal,Norte,Sur,09:29:57,191,0,0,1,0,0,0,10,0,
01112018,12,7,via_peatonal,Norte,Sur,09:44:55,216,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,09:59:55,211,0,0,0,0,0,0,11,0,
01112018,12,7,via_peatonal,Norte,Sur,10:14:55,243,1,0,0,0,0,0,7,0,
01112018,12,7,via_peatonal,Norte,Sur,10:29:55,287,0,0,0,0,0,0,12,0,
01112018,12,7,via_peatonal,Norte,Sur,10:44:55,289,0,0,0,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,10:59:55,265,0,0,0,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,11:14:55,263,0,0,1,0,0,0,8,0,
01112018,12,7,via_peatonal,Norte,Sur,11:29:53,305,0,0,0,0,0,0,8,0,
01112018,12,7,via_peatonal,Norte,Sur,11:44:54,280,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,11:59:54,265,0,0,0,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,12:14:53,341,0,0,0,0,0,0,13,0,
01112018,12,7,via_peatonal,Norte,Sur,12:29:53,372,0,0,0,0,0,0,18,0,
01112018,12,7,via_peatonal,Norte,Sur,12:44:52,407,0,0,0,0,0,0,8,0,
01112018,12,7,via_peatonal,Norte,Sur,12:59:52,436,0,0,0,0,0,0,8,0,
01112018,12,7,via_peatonal,Norte,Sur,13:14:52,484,0,0,0,0,0,0,6,0,
01112018,12,7,via_peatonal,Norte,Sur,13:29:52,477,0,0,1,0,0,0,7,0,
01112018,12,7,via_peatonal,Norte,Sur,13:44:50,541,0,1,1,0,0,0,4,0,
01112018,12,7,via_peatonal,Norte,Sur,13:59:50,476,0,0,0,0,0,0,7,0,
01112018,12,7,via_peatonal,Norte,Sur,14:14:50,410,0,0,0,0,0,0,5,0,
01112018,12,7,via_peatonal,Norte,Sur,14:29:50,336,0,0,1,0,0,0,16,0,
01112018,12,7,via_peatonal,Norte,Sur,14:44:50,284,0,0,0,0,0,0,17,0,
01112018,12,7,via_peatonal,Norte,Sur,14:59:48,359,0,0,3,0,0,0,21,0,
01112018,12,7,via_peatonal,Norte,Sur,15:14:48,340,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Norte,Sur,15:29:48,320,0,0,1,0,0,0,17,0,
01112018,12,7,via_peatonal,Norte,Sur,15:44:48,314,0,0,0,0,0,0,11,0,
01112018,12,7,via_peatonal,Norte,Sur,15:59:47,277,0,0,0,0,0,0,16,0,
01112018,12,7,via_peatonal,Norte,Sur,16:14:47,327,0,0,0,0,0,0,12,0,
01112018,12,7,via_peatonal,Norte,Sur,16:29:46,330,0,0,1,0,0,0,23,0,
01112018,12,7,via_peatonal,Norte,Sur,16:44:46,284,0,0,0,0,0,0,42,0,
01112018,12,7,via_peatonal,Norte,Sur,16:59:46,330,0,0,1,0,0,0,27,0,
01112018,12,7,via_peatonal,Norte,Sur,17:14:46,300,0,0,0,0,0,0,28,0,
01112018,12,7,via_peatonal,Norte,Sur,17:29:44,275,0,0,1,0,0,0,39,0,
01112018,12,7,via_peatonal,Norte,Sur,17:44:44,279,0,0,0,0,0,0,26,0,
01112018,12,7,via_peatonal,Sur,Norte,07:15:00,65,0,0,5,0,1,0,42,0,
01112018,12,7,via_peatonal,Sur,Norte,07:30:00,94,0,1,1,0,0,0,36,0,
01112018,12,7,via_peatonal,Sur,Norte,07:45:00,113,0,0,0,0,0,0,28,0,
01112018,12,7,via_peatonal,Sur,Norte,07:59:59,86,0,0,0,1,0,0,16,0,
01112018,12,7,via_peatonal,Sur,Norte,08:14:59,117,0,0,0,0,0,0,19,0,
01112018,12,7,via_peatonal,Sur,Norte,08:29:59,137,0,0,0,0,0,0,15,0,
01112018,12,7,via_peatonal,Sur,Norte,08:44:57,201,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Sur,Norte,08:59:57,155,0,0,0,0,0,0,20,0,
01112018,12,7,via_peatonal,Sur,Norte,09:14:57,175,0,0,0,0,0,0,13,0,
01112018,12,7,via_peatonal,Sur,Norte,09:29:57,164,0,0,0,0,0,0,20,0,
01112018,12,7,via_peatonal,Sur,Norte,09:44:55,160,0,0,0,0,0,0,14,0,
01112018,12,7,via_peatonal,Sur,Norte,09:59:55,215,0,0,2,0,0,0,11,0,
01112018,12,7,via_peatonal,Sur,Norte,10:14:55,268,1,1,2,0,0,0,13,0,
01112018,12,7,via_peatonal,Sur,Norte,10:29:55,237,0,0,1,0,0,0,26,0,
01112018,12,7,via_peatonal,Sur,Norte,10:44:55,257,0,0,0,0,0,0,13,0,
01112018,12,7,via_peatonal,Sur,Norte,10:59:55,271,0,0,1,0,0,0,30,0,
01112018,12,7,via_peatonal,Sur,Norte,11:14:55,256,0,0,0,0,0,0,11,0,
01112018,12,7,via_peatonal,Sur,Norte,11:29:53,244,0,0,0,0,0,0,12,0,
01112018,12,7,via_peatonal,Sur,Norte,11:44:54,249,0,0,0,0,0,0,15,0,
01112018,12,7,via_peatonal,Sur,Norte,11:59:54,317,0,0,0,0,0,0,11,0,
01112018,12,7,via_peatonal,Sur,Norte,12:14:53,337,0,0,0,0,0,0,8,0,
01112018,12,7,via_peatonal,Sur,Norte,12:29:53,370,0,0,0,0,0,0,6,0,
01112018,12,7,via_peatonal,Sur,Norte,12:44:52,405,0,0,0,0,0,0,3,0,
01112018,12,7,via_peatonal,Sur,Norte,12:59:52,505,0,0,1,0,0,0,7,0,
01112018,12,7,via_peatonal,Sur,Norte,13:14:52,417,1,0,1,0,0,0,9,0,
01112018,12,7,via_peatonal,Sur,Norte,13:29:52,489,0,0,0,0,0,0,11,0,
01112018,12,7,via_peatonal,Sur,Norte,13:44:50,423,0,0,2,0,0,0,8,0,
01112018,12,7,via_peatonal,Sur,Norte,13:59:50,381,0,0,2,0,0,0,12,0,
01112018,12,7,via_peatonal,Sur,Norte,14:14:50,336,0,0,0,0,0,0,5,0,
01112018,12,7,via_peatonal,Sur,Norte,14:29:50,281,0,0,1,0,0,0,10,0,
01112018,12,7,via_peatonal,Sur,Norte,14:44:50,252,0,0,0,0,0,0,7,0,
01112018,12,7,via_peatonal,Sur,Norte,14:59:48,256,0,0,1,0,0,0,14,0,
01112018,12,7,via_peatonal,Sur,Norte,15:14:48,269,0,0,1,0,0,0,11,0,
01112018,12,7,via_peatonal,Sur,Norte,15:29:48,320,0,0,0,0,0,0,7,0,
01112018,12,7,via_peatonal,Sur,Norte,15:44:48,280,0,0,1,0,0,0,24,0,
01112018,12,7,via_peatonal,Sur,Norte,15:59:47,272,0,0,1,0,0,0,13,0,
01112018,12,7,via_peatonal,Sur,Norte,16:14:47,297,0,0,0,0,0,0,10,0,
01112018,12,7,via_peatonal,Sur,Norte,16:29:46,344,1,0,0,0,0,0,12,0,
01112018,12,7,via_peatonal,Sur,Norte,16:44:46,309,0,0,0,0,0,0,12,0,
01112018,12,7,via_peatonal,Sur,Norte,16:59:46,373,0,1,1,0,1,0,21,0,
01112018,12,7,via_peatonal,Sur,Norte,17:14:46,385,0,0,0,0,0,0,13,0,
01112018,12,7,via_peatonal,Sur,Norte,17:29:44,270,0,0,0,0,0,0,15,0,
01112018,12,7,via_peatonal,Sur,Norte,17:44:44,295,0,0,0,0,0,0,13,0,
